datetime,type,description
2025-12-14 16:35:31,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:36:59,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:37:01,Alarma,Codi 3: Perduda Conexió
2025-12-14 16:38:38,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:38:40,Alarma,Codi 3: Perduda Conexió
2025-12-14 16:39:19,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:39:21,Alarma,Codi 3: Perduda Conexió
2025-12-14 16:40:06,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:40:46,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:41:57,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:45:28,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:45:30,Alarma,Codi 3: Perduda Conexió
2025-12-14 16:46:12,Alarma,Codi 3: Perduda Conexió
2025-12-14 16:46:13,Alarma,Codi 3: Perduda Conexió
2025-12-14 16:46:13,Alarma,Codi 3: Perduda Conexió
2025-12-14 16:46:27,Comanda,Enviada ordre: stop -> alarmes
2025-12-14 16:46:29,Alarma,Codi 3: Perduda Conexió
